platform,rsa_bits,family,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows-mingw64,3072,rsa-oaep,encrypt,32,1,1,0.550700,0.550700,0.000000,0.000000,0.055416,0.055416,0.000000,0.000000
windows-mingw64,3072,rsa-oaep,decrypt,32,1,1,123.633300,123.633300,0.000000,0.000000,0.000247,0.000247,0.000000,0.000000
windows-mingw64,3072,hybrid,encrypt,1024,1,1,0.883600,0.883600,0.000000,0.000000,1.105209,1.105209,0.000000,0.000000
windows-mingw64,3072,hybrid,decrypt,1024,1,1,236.841500,236.841500,0.000000,0.000000,0.004123,0.004123,0.000000,0.000000
windows-mingw64,4096,rsa-oaep,encrypt,32,1,1,0.386400,0.386400,0.000000,0.000000,0.078979,0.078979,0.000000,0.000000
windows-mingw64,4096,rsa-oaep,decrypt,32,1,1,147.024400,147.024400,0.000000,0.000000,0.000208,0.000208,0.000000,0.000000
windows-mingw64,4096,hybrid,encrypt,1024,1,1,0.699900,0.699900,0.000000,0.000000,1.395289,1.395289,0.000000,0.000000
windows-mingw64,4096,hybrid,decrypt,1024,1,1,337.221000,337.221000,0.000000,0.000000,0.002896,0.002896,0.000000,0.000000
