platform,rsa_bits,family,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows-mingw64,3072,rsa-oaep,encrypt,32,30,1,0.314923,0.299000,0.052567,0.018811,0.098455,0.102066,0.009794,0.003505
windows-mingw64,3072,rsa-oaep,decrypt,32,30,1,104.505270,102.622200,5.278850,1.889012,0.000293,0.000297,0.000014,0.000005
windows-mingw64,3072,hybrid,encrypt,104857600,30,1,232.636127,234.546950,26.820781,9.597693,435.257459,426.367961,48.907888,17.501463
windows-mingw64,3072,hybrid,decrypt,104857600,30,1,490.754200,495.300300,42.502845,15.209448,205.250416,201.901419,17.773906,6.360310
windows-mingw64,4096,rsa-oaep,encrypt,32,30,1,0.387110,0.377900,0.071740,0.025672,0.080991,0.080756,0.012482,0.004467
windows-mingw64,4096,rsa-oaep,decrypt,32,30,1,165.727507,164.025650,6.681301,2.390873,0.000184,0.000186,0.000006,0.000002
windows-mingw64,4096,hybrid,encrypt,104857600,30,1,242.180830,243.716100,13.923130,4.982328,414.238263,410.316714,23.846306,8.533291
windows-mingw64,4096,hybrid,decrypt,104857600,30,1,614.317983,611.625050,23.635008,8.457679,162.987759,163.498870,5.541272,1.982919
