platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
ubuntu24.04-gcc,sha512,1048576,hash,15,100,1000,106.435242,1.064352,939.538428,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,16,100,1000,106.512574,1.065126,938.856289,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,17,100,1000,106.380145,1.063801,940.025039,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,18,100,1000,106.644534,1.066445,937.694566,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,19,100,1000,106.294541,1.062945,940.782086,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,20,100,1000,106.470253,1.064703,939.229477,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,21,100,1000,106.363970,1.063640,940.167991,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,22,100,1000,106.502081,1.065021,938.948789,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,23,100,1000,106.582890,1.065829,938.236897,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,24,100,1000,106.516015,1.065160,938.825960,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,25,100,1000,106.386315,1.063863,939.970522,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,26,100,1000,106.476729,1.064767,939.172352,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,27,100,1000,106.761983,1.067620,936.663007,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,28,100,1000,106.409582,1.064096,939.764992,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,29,100,1000,106.227475,1.062275,941.376042,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha512,1048576,hash,30,100,1000,106.317899,1.063179,940.575396,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,1,100,1000,188.917254,1.889173,529.332276,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,2,100,1000,189.248569,1.892486,528.405581,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,3,100,1000,188.906558,1.889066,529.362247,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,4,100,1000,189.127014,1.891270,528.745196,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,5,100,1000,189.759728,1.897597,526.982206,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,6,100,1000,188.992554,1.889926,529.121375,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,7,100,1000,189.082380,1.890824,528.870009,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,8,100,1000,189.205929,1.892059,528.524664,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,9,100,1000,189.168909,1.891689,528.628095,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,10,100,1000,188.957947,1.889579,529.218282,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,11,100,1000,188.764629,1.887646,529.760266,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,12,100,1000,189.374731,1.893747,528.053555,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,13,100,1000,188.810018,1.888100,529.632914,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,14,100,1000,189.256879,1.892569,528.382379,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,15,100,1000,188.819200,1.888192,529.607159,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,16,100,1000,189.175468,1.891755,528.609767,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,17,100,1000,189.236618,1.892366,528.438951,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,18,100,1000,188.678020,1.886780,530.003442,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,19,100,1000,189.177367,1.891774,528.604460,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,20,100,1000,188.909370,1.889094,529.354367,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,21,100,1000,189.548219,1.895482,527.570243,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,22,100,1000,188.762996,1.887630,529.764849,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,23,100,1000,188.744573,1.887446,529.816558,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,24,100,1000,189.832354,1.898324,526.780593,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,25,100,1000,189.551430,1.895514,527.561306,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,26,100,1000,189.884451,1.898845,526.636065,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,27,100,1000,189.912579,1.899126,526.558064,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,28,100,1000,188.898887,1.888989,529.383744,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,29,100,1000,188.795594,1.887956,529.673378,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-256,1048576,hash,30,100,1000,188.826266,1.888263,529.587340,32,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,1,100,1000,332.881843,3.328818,300.406892,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,2,100,1000,331.511652,3.315117,301.648522,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,3,100,1000,332.201025,3.322010,301.022551,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,4,100,1000,334.171190,3.341712,299.247820,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,5,100,1000,331.182708,3.311827,301.948132,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,6,100,1000,330.423010,3.304230,302.642361,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,7,100,1000,330.886092,3.308861,302.218807,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,8,100,1000,330.288498,3.302885,302.765614,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,9,100,1000,330.866700,3.308667,302.236520,64,true,gcc-13.3,Release
ubuntu24.04-gcc,sha3-512,1048576,hash,10,100,1000,330.465304,3.304653,302.603628,64,true,gcc-13.3,Release
