platform,algo,input_size_bytes,mode,runs,ops_per_run,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s,mean_latency_ms,median_latency_ms,stddev_latency_ms,ci95_latency_ms
ubuntu24.04-gcc,sha256,1048576,hash,30,100,1916.948526,1923.094203,12.012929,4.298772,0.521682,0.519995,0.003304,0.001182
ubuntu24.04-gcc,sha512,1048576,hash,30,100,939.059729,939.238942,2.220720,0.794675,1.064901,1.064692,0.002527,0.000904
ubuntu24.04-gcc,sha3-256,1048576,hash,30,100,528.698978,528.807602,1.010725,0.361683,1.891442,1.891047,0.003621,0.001296
ubuntu24.04-gcc,sha3-512,1048576,hash,30,100,302.387385,302.655238,0.861827,0.308401,3.307042,3.304090,0.009482,0.003393
