platform,algo,input_size_bytes,mode,runs,ops_per_run,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s,mean_latency_ms,median_latency_ms,stddev_latency_ms,ci95_latency_ms
ubuntu24.04-gcc,sha256,1073741824,hash,3,1,1845.564087,1847.718817,4.384018,4.960983,554.846003,554.196878,1.319754,1.493442
ubuntu24.04-gcc,sha512,1073741824,hash,3,1,929.057662,929.206748,0.262297,0.296817,1102.192142,1102.015243,0.311228,0.352188
ubuntu24.04-gcc,sha3-256,1073741824,hash,3,1,526.271270,526.302830,0.163872,0.185439,1945.764710,1945.647908,0.605930,0.685675
ubuntu24.04-gcc,sha3-512,1073741824,hash,3,1,300.391786,300.475931,0.202722,0.229402,3408.882529,3407.926874,2.301319,2.604187
