platform,algo,input_size_bytes,mode,runs,ops_per_run,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s,mean_latency_ms,median_latency_ms,stddev_latency_ms,ci95_latency_ms
ubuntu24.04-gcc,sha256,104857600,hash,30,1,1852.479778,1855.546553,12.914140,4.621266,53.984289,53.892480,0.384892,0.137732
ubuntu24.04-gcc,sha512,104857600,hash,30,1,920.270600,923.411030,7.447311,2.664986,108.670662,108.294137,0.891209,0.318915
ubuntu24.04-gcc,sha3-256,104857600,hash,30,1,526.633835,526.999598,0.975394,0.349040,189.885887,189.753466,0.352809,0.126251
ubuntu24.04-gcc,sha3-512,104857600,hash,30,1,299.677151,299.761120,0.398715,0.142678,333.693014,333.598973,0.445119,0.159284
