platform,algorithm,operation,message_size,runs,ops,mean_ms,median_ms,stddev_ms,ci95_ms,ops_per_sec
windows-mingw64,ecdsa-p256,keygen,na,1,1,4.959900,4.959900,0.000000,0.000000,201.616968
windows-mingw64,ecdsa-p256,sign,1KiB,1,1,0.176900,0.176900,0.000000,0.000000,5652.911249
windows-mingw64,ecdsa-p256,verify,1KiB,1,1,0.437500,0.437500,0.000000,0.000000,2285.714286
windows-mingw64,rsa-pss-3072,keygen,na,1,1,228.815900,228.815900,0.000000,0.000000,4.370326
windows-mingw64,rsa-pss-3072,sign,1KiB,1,1,3.668100,3.668100,0.000000,0.000000,272.620703
windows-mingw64,rsa-pss-3072,verify,1KiB,1,1,0.182800,0.182800,0.000000,0.000000,5470.459519
