platform,algorithm,operation,message_size,run,ops,latency_ms
windows-mingw64,ecdsa-p256,verify,1KiB,27,1,0.172500
windows-mingw64,ecdsa-p256,sign,1KiB,28,1,0.139900
windows-mingw64,ecdsa-p256,verify,1KiB,28,1,0.167600
windows-mingw64,ecdsa-p256,sign,1KiB,29,1,0.137100
windows-mingw64,ecdsa-p256,verify,1KiB,29,1,0.168600
windows-mingw64,ecdsa-p256,sign,1KiB,30,1,0.137100
windows-mingw64,ecdsa-p256,verify,1KiB,30,1,0.172100
windows-mingw64,ecdsa-p256,sign,16KiB,1,1,0.156000
windows-mingw64,ecdsa-p256,verify,16KiB,1,1,0.183400
windows-mingw64,ecdsa-p256,sign,16KiB,2,1,0.150800
windows-mingw64,ecdsa-p256,verify,16KiB,2,1,0.191300
windows-mingw64,ecdsa-p256,sign,16KiB,3,1,0.154300
windows-mingw64,ecdsa-p256,verify,16KiB,3,1,0.181900
windows-mingw64,ecdsa-p256,sign,16KiB,4,1,0.149800
windows-mingw64,ecdsa-p256,verify,16KiB,4,1,0.180200
windows-mingw64,ecdsa-p256,sign,16KiB,5,1,0.149400
windows-mingw64,ecdsa-p256,verify,16KiB,5,1,0.180500
windows-mingw64,ecdsa-p256,sign,16KiB,6,1,0.148400
windows-mingw64,ecdsa-p256,verify,16KiB,6,1,0.180600
windows-mingw64,ecdsa-p256,sign,16KiB,7,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,7,1,0.180200
windows-mingw64,ecdsa-p256,sign,16KiB,8,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,8,1,0.188900
windows-mingw64,ecdsa-p256,sign,16KiB,9,1,0.156000
windows-mingw64,ecdsa-p256,verify,16KiB,9,1,0.181500
windows-mingw64,ecdsa-p256,sign,16KiB,10,1,0.149800
windows-mingw64,ecdsa-p256,verify,16KiB,10,1,0.180800
windows-mingw64,ecdsa-p256,sign,16KiB,11,1,0.150300
windows-mingw64,ecdsa-p256,verify,16KiB,11,1,0.180400
windows-mingw64,ecdsa-p256,sign,16KiB,12,1,0.148500
windows-mingw64,ecdsa-p256,verify,16KiB,12,1,0.179600
windows-mingw64,ecdsa-p256,sign,16KiB,13,1,0.159500
windows-mingw64,ecdsa-p256,verify,16KiB,13,1,0.180200
windows-mingw64,ecdsa-p256,sign,16KiB,14,1,0.148500
windows-mingw64,ecdsa-p256,verify,16KiB,14,1,0.189800
windows-mingw64,ecdsa-p256,sign,16KiB,15,1,0.151400
windows-mingw64,ecdsa-p256,verify,16KiB,15,1,0.180400
windows-mingw64,ecdsa-p256,sign,16KiB,16,1,0.149100
windows-mingw64,ecdsa-p256,verify,16KiB,16,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,17,1,0.149100
windows-mingw64,ecdsa-p256,verify,16KiB,17,1,0.180000
windows-mingw64,ecdsa-p256,sign,16KiB,18,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,18,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,19,1,0.148000
windows-mingw64,ecdsa-p256,verify,16KiB,19,1,0.178700
windows-mingw64,ecdsa-p256,sign,16KiB,20,1,0.147800
windows-mingw64,ecdsa-p256,verify,16KiB,20,1,0.192300
windows-mingw64,ecdsa-p256,sign,16KiB,21,1,0.150300
windows-mingw64,ecdsa-p256,verify,16KiB,21,1,0.180600
windows-mingw64,ecdsa-p256,sign,16KiB,22,1,0.148900
windows-mingw64,ecdsa-p256,verify,16KiB,22,1,0.179500
windows-mingw64,ecdsa-p256,sign,16KiB,23,1,0.147800
windows-mingw64,ecdsa-p256,verify,16KiB,23,1,0.179100
windows-mingw64,ecdsa-p256,sign,16KiB,24,1,0.147900
windows-mingw64,ecdsa-p256,verify,16KiB,24,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,25,1,0.148000
windows-mingw64,ecdsa-p256,verify,16KiB,25,1,0.179700
windows-mingw64,ecdsa-p256,sign,16KiB,26,1,0.148100
windows-mingw64,ecdsa-p256,verify,16KiB,26,1,0.195900
windows-mingw64,ecdsa-p256,sign,16KiB,27,1,0.149600
windows-mingw64,ecdsa-p256,verify,16KiB,27,1,0.180800
windows-mingw64,ecdsa-p256,sign,16KiB,28,1,0.148000
windows-mingw64,ecdsa-p256,verify,16KiB,28,1,0.179900
windows-mingw64,ecdsa-p256,sign,16KiB,29,1,0.148300
windows-mingw64,ecdsa-p256,verify,16KiB,29,1,0.179200
windows-mingw64,ecdsa-p256,sign,16KiB,30,1,0.147800
windows-mingw64,ecdsa-p256,verify,16KiB,30,1,0.179400
windows-mingw64,ecdsa-p256,sign,1MiB,1,1,1.021200
windows-mingw64,ecdsa-p256,verify,1MiB,1,1,1.067400
windows-mingw64,ecdsa-p256,sign,1MiB,2,1,1.047200
windows-mingw64,ecdsa-p256,verify,1MiB,2,1,1.040700
windows-mingw64,ecdsa-p256,sign,1MiB,3,1,1.017000
windows-mingw64,ecdsa-p256,verify,1MiB,3,1,1.042900
windows-mingw64,ecdsa-p256,sign,1MiB,4,1,1.010900
windows-mingw64,ecdsa-p256,verify,1MiB,4,1,1.033300
windows-mingw64,ecdsa-p256,sign,1MiB,5,1,1.009100
windows-mingw64,ecdsa-p256,verify,1MiB,5,1,1.031600
windows-mingw64,ecdsa-p256,sign,1MiB,6,1,1.008400
windows-mingw64,ecdsa-p256,verify,1MiB,6,1,1.031100
windows-mingw64,ecdsa-p256,sign,1MiB,7,1,1.007800
windows-mingw64,ecdsa-p256,verify,1MiB,7,1,1.031400
windows-mingw64,ecdsa-p256,sign,1MiB,8,1,1.007400
windows-mingw64,ecdsa-p256,verify,1MiB,8,1,1.040500
windows-mingw64,ecdsa-p256,sign,1MiB,9,1,1.000500
windows-mingw64,ecdsa-p256,verify,1MiB,9,1,1.038700
windows-mingw64,ecdsa-p256,sign,1MiB,10,1,1.043000
windows-mingw64,ecdsa-p256,verify,1MiB,10,1,1.058100
windows-mingw64,ecdsa-p256,sign,1MiB,11,1,1.021200
windows-mingw64,ecdsa-p256,verify,1MiB,11,1,1.039900
windows-mingw64,ecdsa-p256,sign,1MiB,12,1,1.000700
windows-mingw64,ecdsa-p256,verify,1MiB,12,1,1.081800
windows-mingw64,ecdsa-p256,sign,1MiB,13,1,1.125900
windows-mingw64,ecdsa-p256,verify,1MiB,13,1,1.107700
windows-mingw64,ecdsa-p256,sign,1MiB,14,1,1.021200
windows-mingw64,ecdsa-p256,verify,1MiB,14,1,1.045200
windows-mingw64,ecdsa-p256,sign,1MiB,15,1,1.005800
windows-mingw64,ecdsa-p256,verify,1MiB,15,1,1.054000
windows-mingw64,ecdsa-p256,sign,1MiB,16,1,1.003700
windows-mingw64,ecdsa-p256,verify,1MiB,16,1,1.039300
windows-mingw64,ecdsa-p256,sign,1MiB,17,1,1.004100
windows-mingw64,ecdsa-p256,verify,1MiB,17,1,1.051500
windows-mingw64,ecdsa-p256,sign,1MiB,18,1,0.998700
windows-mingw64,ecdsa-p256,verify,1MiB,18,1,1.039200
windows-mingw64,ecdsa-p256,sign,1MiB,19,1,1.002200
windows-mingw64,ecdsa-p256,verify,1MiB,19,1,1.038500
windows-mingw64,ecdsa-p256,sign,1MiB,20,1,1.016700
windows-mingw64,ecdsa-p256,verify,1MiB,20,1,1.050000
windows-mingw64,ecdsa-p256,sign,1MiB,21,1,1.042200
windows-mingw64,ecdsa-p256,verify,1MiB,21,1,1.038800
windows-mingw64,ecdsa-p256,sign,1MiB,22,1,1.014400
windows-mingw64,ecdsa-p256,verify,1MiB,22,1,1.031200
windows-mingw64,ecdsa-p256,sign,1MiB,23,1,1.008900
windows-mingw64,ecdsa-p256,verify,1MiB,23,1,1.030400
windows-mingw64,ecdsa-p256,sign,1MiB,24,1,1.008900
windows-mingw64,ecdsa-p256,verify,1MiB,24,1,1.064100
windows-mingw64,ecdsa-p256,sign,1MiB,25,1,1.044500
windows-mingw64,ecdsa-p256,verify,1MiB,25,1,1.032900
windows-mingw64,ecdsa-p256,sign,1MiB,26,1,1.008700
windows-mingw64,ecdsa-p256,verify,1MiB,26,1,1.032300
windows-mingw64,ecdsa-p256,sign,1MiB,27,1,1.007100
windows-mingw64,ecdsa-p256,verify,1MiB,27,1,1.032100
windows-mingw64,ecdsa-p256,sign,1MiB,28,1,1.087300
windows-mingw64,ecdsa-p256,verify,1MiB,28,1,1.094600
windows-mingw64,ecdsa-p256,sign,1MiB,29,1,1.039600
windows-mingw64,ecdsa-p256,verify,1MiB,29,1,1.074700
windows-mingw64,ecdsa-p256,sign,1MiB,30,1,1.033200
windows-mingw64,ecdsa-p256,verify,1MiB,30,1,1.043500
windows-mingw64,ecdsa-p256,sign,8MiB,1,1,7.160100
windows-mingw64,ecdsa-p256,verify,8MiB,1,1,7.212100
windows-mingw64,ecdsa-p256,sign,8MiB,2,1,7.107100
windows-mingw64,ecdsa-p256,verify,8MiB,2,1,7.163400
windows-mingw64,ecdsa-p256,sign,8MiB,3,1,7.139800
windows-mingw64,ecdsa-p256,verify,8MiB,3,1,7.198500
windows-mingw64,ecdsa-p256,sign,8MiB,4,1,7.151500
windows-mingw64,ecdsa-p256,verify,8MiB,4,1,7.106000
windows-mingw64,ecdsa-p256,sign,8MiB,5,1,7.413800
windows-mingw64,ecdsa-p256,verify,8MiB,5,1,7.301500
windows-mingw64,ecdsa-p256,sign,8MiB,6,1,7.567800
windows-mingw64,ecdsa-p256,verify,8MiB,6,1,7.165700
windows-mingw64,ecdsa-p256,sign,8MiB,7,1,7.219400
windows-mingw64,ecdsa-p256,verify,8MiB,7,1,7.127100
windows-mingw64,ecdsa-p256,sign,8MiB,8,1,7.151100
windows-mingw64,ecdsa-p256,verify,8MiB,8,1,7.114700
windows-mingw64,ecdsa-p256,sign,8MiB,9,1,7.140400
windows-mingw64,ecdsa-p256,verify,8MiB,9,1,7.118600
windows-mingw64,ecdsa-p256,sign,8MiB,10,1,7.128200
windows-mingw64,ecdsa-p256,verify,8MiB,10,1,7.208500
windows-mingw64,ecdsa-p256,sign,8MiB,11,1,7.096500
windows-mingw64,ecdsa-p256,verify,8MiB,11,1,7.251700
windows-mingw64,ecdsa-p256,sign,8MiB,12,1,7.152800
windows-mingw64,ecdsa-p256,verify,8MiB,12,1,7.808700
windows-mingw64,ecdsa-p256,sign,8MiB,13,1,7.216200
windows-mingw64,ecdsa-p256,verify,8MiB,13,1,8.074900
windows-mingw64,ecdsa-p256,sign,8MiB,14,1,7.198900
windows-mingw64,ecdsa-p256,verify,8MiB,14,1,7.262900
windows-mingw64,ecdsa-p256,sign,8MiB,15,1,7.165600
windows-mingw64,ecdsa-p256,verify,8MiB,15,1,7.232900
windows-mingw64,ecdsa-p256,sign,8MiB,16,1,7.196800
windows-mingw64,ecdsa-p256,verify,8MiB,16,1,7.915200
windows-mingw64,ecdsa-p256,sign,8MiB,17,1,7.564300
windows-mingw64,ecdsa-p256,verify,8MiB,17,1,7.142200
windows-mingw64,ecdsa-p256,sign,8MiB,18,1,7.276000
windows-mingw64,ecdsa-p256,verify,8MiB,18,1,7.153700
windows-mingw64,ecdsa-p256,sign,8MiB,19,1,7.545100
windows-mingw64,ecdsa-p256,verify,8MiB,19,1,7.129000
windows-mingw64,ecdsa-p256,sign,8MiB,20,1,7.139200
windows-mingw64,ecdsa-p256,verify,8MiB,20,1,7.114300
windows-mingw64,ecdsa-p256,sign,8MiB,21,1,7.418500
windows-mingw64,ecdsa-p256,verify,8MiB,21,1,7.145300
windows-mingw64,ecdsa-p256,sign,8MiB,22,1,7.190000
windows-mingw64,ecdsa-p256,verify,8MiB,22,1,7.172100
windows-mingw64,ecdsa-p256,sign,8MiB,23,1,7.080900
windows-mingw64,ecdsa-p256,verify,8MiB,23,1,7.640200
windows-mingw64,ecdsa-p256,sign,8MiB,24,1,7.117300
windows-mingw64,ecdsa-p256,verify,8MiB,24,1,7.906600
windows-mingw64,ecdsa-p256,sign,8MiB,25,1,7.113400
windows-mingw64,ecdsa-p256,verify,8MiB,25,1,7.772100
windows-mingw64,ecdsa-p256,sign,8MiB,26,1,7.105900
windows-mingw64,ecdsa-p256,verify,8MiB,26,1,7.199700
windows-mingw64,ecdsa-p256,sign,8MiB,27,1,7.109200
windows-mingw64,ecdsa-p256,verify,8MiB,27,1,7.262600
windows-mingw64,ecdsa-p256,sign,8MiB,28,1,7.105500
windows-mingw64,ecdsa-p256,verify,8MiB,28,1,7.099000
windows-mingw64,ecdsa-p256,sign,8MiB,29,1,7.243700
windows-mingw64,ecdsa-p256,verify,8MiB,29,1,7.121200
windows-mingw64,ecdsa-p256,sign,8MiB,30,1,7.201000
windows-mingw64,ecdsa-p256,verify,8MiB,30,1,7.103600
windows-mingw64,rsa-pss-3072,keygen,na,1,1,154.967800
windows-mingw64,rsa-pss-3072,keygen,na,2,1,172.881900
windows-mingw64,rsa-pss-3072,keygen,na,3,1,183.873600
windows-mingw64,rsa-pss-3072,keygen,na,4,1,99.978900
windows-mingw64,rsa-pss-3072,keygen,na,5,1,123.422900
windows-mingw64,rsa-pss-3072,keygen,na,6,1,256.755100
windows-mingw64,rsa-pss-3072,keygen,na,7,1,164.577300
windows-mingw64,rsa-pss-3072,keygen,na,8,1,86.947700
windows-mingw64,rsa-pss-3072,keygen,na,9,1,228.898800
windows-mingw64,rsa-pss-3072,keygen,na,10,1,433.239300
windows-mingw64,rsa-pss-3072,keygen,na,11,1,115.762900
windows-mingw64,rsa-pss-3072,keygen,na,12,1,124.921500
windows-mingw64,rsa-pss-3072,keygen,na,13,1,126.046400
windows-mingw64,rsa-pss-3072,keygen,na,14,1,136.213600
windows-mingw64,rsa-pss-3072,keygen,na,15,1,102.907300
windows-mingw64,rsa-pss-3072,keygen,na,16,1,64.663000
windows-mingw64,rsa-pss-3072,keygen,na,17,1,184.200100
windows-mingw64,rsa-pss-3072,keygen,na,18,1,171.716500
windows-mingw64,rsa-pss-3072,keygen,na,19,1,126.843500
windows-mingw64,rsa-pss-3072,keygen,na,20,1,69.739300
windows-mingw64,rsa-pss-3072,keygen,na,21,1,662.158900
windows-mingw64,rsa-pss-3072,keygen,na,22,1,44.988900
windows-mingw64,rsa-pss-3072,keygen,na,23,1,234.433300
windows-mingw64,rsa-pss-3072,keygen,na,24,1,209.688000
windows-mingw64,rsa-pss-3072,keygen,na,25,1,418.500800
windows-mingw64,rsa-pss-3072,keygen,na,26,1,139.768100
windows-mingw64,rsa-pss-3072,keygen,na,27,1,317.783900
windows-mingw64,rsa-pss-3072,keygen,na,28,1,220.643000
windows-mingw64,rsa-pss-3072,keygen,na,29,1,127.640200
windows-mingw64,rsa-pss-3072,keygen,na,30,1,75.102700
windows-mingw64,rsa-pss-3072,sign,1KiB,1,1,3.596800
windows-mingw64,rsa-pss-3072,verify,1KiB,1,1,0.159600
windows-mingw64,rsa-pss-3072,sign,1KiB,2,1,3.544800
windows-mingw64,rsa-pss-3072,verify,1KiB,2,1,0.135400
windows-mingw64,rsa-pss-3072,sign,1KiB,3,1,3.527900
windows-mingw64,rsa-pss-3072,verify,1KiB,3,1,0.131100
windows-mingw64,rsa-pss-3072,sign,1KiB,4,1,3.747100
windows-mingw64,rsa-pss-3072,verify,1KiB,4,1,0.159100
windows-mingw64,rsa-pss-3072,sign,1KiB,5,1,3.562000
windows-mingw64,rsa-pss-3072,verify,1KiB,5,1,0.135500
windows-mingw64,rsa-pss-3072,sign,1KiB,6,1,3.578100
windows-mingw64,rsa-pss-3072,verify,1KiB,6,1,0.134400
windows-mingw64,rsa-pss-3072,sign,1KiB,7,1,3.553800
windows-mingw64,rsa-pss-3072,verify,1KiB,7,1,0.132100
windows-mingw64,rsa-pss-3072,sign,1KiB,8,1,3.670600
windows-mingw64,rsa-pss-3072,verify,1KiB,8,1,0.152900
windows-mingw64,rsa-pss-3072,sign,1KiB,9,1,3.548600
windows-mingw64,rsa-pss-3072,verify,1KiB,9,1,0.133800
windows-mingw64,rsa-pss-3072,sign,1KiB,10,1,3.536100
windows-mingw64,rsa-pss-3072,verify,1KiB,10,1,0.131400
windows-mingw64,rsa-pss-3072,sign,1KiB,11,1,3.524100
windows-mingw64,rsa-pss-3072,verify,1KiB,11,1,0.129300
windows-mingw64,rsa-pss-3072,sign,1KiB,12,1,3.670500
windows-mingw64,rsa-pss-3072,verify,1KiB,12,1,0.154900
windows-mingw64,rsa-pss-3072,sign,1KiB,13,1,3.574600
windows-mingw64,rsa-pss-3072,verify,1KiB,13,1,0.133400
windows-mingw64,rsa-pss-3072,sign,1KiB,14,1,3.537200
windows-mingw64,rsa-pss-3072,verify,1KiB,14,1,0.130600
windows-mingw64,rsa-pss-3072,sign,1KiB,15,1,3.535800
windows-mingw64,rsa-pss-3072,verify,1KiB,15,1,0.131700
windows-mingw64,rsa-pss-3072,sign,1KiB,16,1,3.651900
windows-mingw64,rsa-pss-3072,verify,1KiB,16,1,0.223600
windows-mingw64,rsa-pss-3072,sign,1KiB,17,1,3.856700
windows-mingw64,rsa-pss-3072,verify,1KiB,17,1,0.162000
windows-mingw64,rsa-pss-3072,sign,1KiB,18,1,3.552300
windows-mingw64,rsa-pss-3072,verify,1KiB,18,1,0.135100
windows-mingw64,rsa-pss-3072,sign,1KiB,19,1,3.542600
windows-mingw64,rsa-pss-3072,verify,1KiB,19,1,0.131900
windows-mingw64,rsa-pss-3072,sign,1KiB,20,1,3.543600
windows-mingw64,rsa-pss-3072,verify,1KiB,20,1,0.129000
windows-mingw64,rsa-pss-3072,sign,1KiB,21,1,3.874900
windows-mingw64,rsa-pss-3072,verify,1KiB,21,1,0.163300
windows-mingw64,rsa-pss-3072,sign,1KiB,22,1,3.521700
windows-mingw64,rsa-pss-3072,verify,1KiB,22,1,0.133100
windows-mingw64,rsa-pss-3072,sign,1KiB,23,1,3.636400
windows-mingw64,rsa-pss-3072,verify,1KiB,23,1,0.146600
windows-mingw64,rsa-pss-3072,sign,1KiB,24,1,3.532000
windows-mingw64,rsa-pss-3072,verify,1KiB,24,1,0.131700
windows-mingw64,rsa-pss-3072,sign,1KiB,25,1,3.784800
windows-mingw64,rsa-pss-3072,verify,1KiB,25,1,0.159400
windows-mingw64,rsa-pss-3072,sign,1KiB,26,1,3.576500
windows-mingw64,rsa-pss-3072,verify,1KiB,26,1,0.134000
windows-mingw64,rsa-pss-3072,sign,1KiB,27,1,3.542100
windows-mingw64,rsa-pss-3072,verify,1KiB,27,1,0.131000
windows-mingw64,rsa-pss-3072,sign,1KiB,28,1,3.520100
windows-mingw64,rsa-pss-3072,verify,1KiB,28,1,0.130100
windows-mingw64,rsa-pss-3072,sign,1KiB,29,1,3.684300
windows-mingw64,rsa-pss-3072,verify,1KiB,29,1,0.158000
windows-mingw64,rsa-pss-3072,sign,1KiB,30,1,3.536900
windows-mingw64,rsa-pss-3072,verify,1KiB,30,1,0.133000
windows-mingw64,rsa-pss-3072,sign,16KiB,1,1,3.562000
windows-mingw64,rsa-pss-3072,verify,16KiB,1,1,0.149800
windows-mingw64,rsa-pss-3072,sign,16KiB,2,1,3.686300
windows-mingw64,rsa-pss-3072,verify,16KiB,2,1,0.168000
windows-mingw64,rsa-pss-3072,sign,16KiB,3,1,3.605700
windows-mingw64,rsa-pss-3072,verify,16KiB,3,1,0.151500
windows-mingw64,rsa-pss-3072,sign,16KiB,4,1,3.575800
windows-mingw64,rsa-pss-3072,verify,16KiB,4,1,0.144600
windows-mingw64,rsa-pss-3072,sign,16KiB,5,1,3.548600
windows-mingw64,rsa-pss-3072,verify,16KiB,5,1,0.145400
windows-mingw64,rsa-pss-3072,sign,16KiB,6,1,3.664500
windows-mingw64,rsa-pss-3072,verify,16KiB,6,1,0.190500
windows-mingw64,rsa-pss-3072,sign,16KiB,7,1,3.563900
windows-mingw64,rsa-pss-3072,verify,16KiB,7,1,0.147400
windows-mingw64,rsa-pss-3072,sign,16KiB,8,1,3.940700
windows-mingw64,rsa-pss-3072,verify,16KiB,8,1,0.203700
windows-mingw64,rsa-pss-3072,sign,16KiB,9,1,3.611900
windows-mingw64,rsa-pss-3072,verify,16KiB,9,1,0.163800
windows-mingw64,rsa-pss-3072,sign,16KiB,10,1,3.677200
windows-mingw64,rsa-pss-3072,verify,16KiB,10,1,0.202700
windows-mingw64,rsa-pss-3072,sign,16KiB,11,1,5.037300
