platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
ubuntu-linux,ofb,encrypt,4096,30,100,0.007260518,0.007123040,0.000843107,0.000301702,542.454123,548.396502,39.577981,14.162798
ubuntu-linux,ofb,decrypt,4096,30,100,0.007192559,0.007200185,0.000024479,0.000008760,543.102090,542.520791,1.851948,0.662711
ubuntu-linux,ofb,encrypt,16384,30,100,0.024810251,0.024766980,0.000167110,0.000059799,629.807452,630.880312,4.215558,1.508518
ubuntu-linux,ofb,decrypt,16384,30,100,0.025085158,0.025016690,0.000177268,0.000063435,622.908116,624.583029,4.366952,1.562694
ubuntu-linux,ofb,encrypt,262144,30,100,0.397749812,0.397355370,0.000947261,0.000338973,628.539245,629.159737,1.492664,0.534143
ubuntu-linux,ofb,decrypt,262144,30,100,0.402588320,0.401666380,0.002879485,0.001030411,621.012013,622.407119,4.377080,1.566318
ubuntu-linux,ofb,encrypt,1048576,30,100,1.472277918,1.471731000,0.005922460,0.002119325,679.230116,679.472010,2.707763,0.968960
ubuntu-linux,ofb,decrypt,1048576,30,100,1.485422721,1.485258370,0.003526618,0.001261984,673.212704,673.283532,1.597501,0.571658
ubuntu-linux,ofb,encrypt,8388608,30,100,12.872979771,12.870095455,0.036120433,0.012925531,621.461430,621.596018,1.730428,0.619226
ubuntu-linux,ofb,decrypt,8388608,30,100,13.175708438,13.111068515,0.186556281,0.066758308,607.290734,610.171474,8.239833,2.948586
ubuntu-linux,ctr,encrypt,1024,30,100,0.001596797,0.001591955,0.000016753,0.000005995,611.640034,613.435998,6.327739,2.264352
ubuntu-linux,ctr,decrypt,1024,30,100,0.001616090,0.001601580,0.000032012,0.000011455,604.496751,609.749437,11.588605,4.146929
ubuntu-linux,ctr,encrypt,4096,30,100,0.004305133,0.004295635,0.000023983,0.000008582,907.374377,909.353335,5.049805,1.807050
ubuntu-linux,ctr,decrypt,4096,30,100,0.004366429,0.004363410,0.000019601,0.000007014,894.627206,895.228755,4.020486,1.438712
ubuntu-linux,ctr,encrypt,16384,30,100,0.013517005,0.013504455,0.000042587,0.000015240,1155.962355,1157.025595,3.617891,1.294646
ubuntu-linux,ctr,decrypt,16384,30,100,0.013744901,0.013728165,0.000084195,0.000030129,1136.826107,1138.171108,6.913510,2.473968
ubuntu-linux,ctr,encrypt,262144,30,100,0.219830630,0.219651865,0.000534883,0.000191405,1137.245630,1138.164705,2.752711,0.985045
ubuntu-linux,ctr,decrypt,262144,30,100,0.222223148,0.222045770,0.000711160,0.000254485,1125.006396,1125.894014,3.582595,1.282015
ubuntu-linux,ctr,encrypt,1048576,30,100,0.760577488,0.759030715,0.006602131,0.002362542,1314.884952,1317.469742,11.265503,4.031308
ubuntu-linux,ctr,decrypt,1048576,30,100,0.787881594,0.790239025,0.015686073,0.005613189,1269.707941,1265.441662,25.037389,8.959515
ubuntu-linux,ctr,encrypt,8388608,30,100,7.265080945,7.166670920,0.305513970,0.109326770,1102.826533,1116.278494,41.100078,14.707474
ubuntu-linux,ctr,decrypt,8388608,30,100,7.417328202,7.411334565,0.025873506,0.009258715,1078.568105,1079.427726,3.743353,1.339542
ubuntu-linux,gcm,encrypt,1024,30,100,0.001808501,0.001778505,0.000145600,0.000052102,542.408733,549.091969,31.180971,11.157967
ubuntu-linux,gcm,decrypt,1024,30,100,0.002373093,0.002316160,0.000266632,0.000095413,414.746017,421.629992,29.785753,10.658695
ubuntu-linux,gcm,encrypt,4096,30,100,0.006020062,0.006012675,0.000075110,0.000026878,648.966127,649.669414,7.801276,2.791651
ubuntu-linux,gcm,decrypt,4096,30,100,0.005642763,0.005652560,0.000024097,0.000008623,692.270558,691.058571,2.958735,1.058770
ubuntu-linux,gcm,encrypt,16384,30,100,0.019553767,0.019520490,0.000101373,0.000036276,799.099371,800.440973,4.114462,1.472341
ubuntu-linux,gcm,decrypt,16384,30,100,0.020690478,0.020586620,0.000529521,0.000189487,755.602394,758.988121,17.144293,6.135006
ubuntu-linux,gcm,encrypt,262144,30,100,0.318632767,0.318189065,0.001654359,0.000592005,784.622574,785.696406,4.040954,1.446037
ubuntu-linux,gcm,decrypt,262144,30,100,0.322893788,0.322407650,0.001071019,0.000383259,774.256608,775.415846,2.559015,0.915732
ubuntu-linux,gcm,encrypt,1048576,30,100,0.906485408,0.906670055,0.003635968,0.001301114,1103.178882,1102.937120,4.426681,1.584067
ubuntu-linux,gcm,decrypt,1048576,30,100,0.919921207,0.921767125,0.005910559,0.002115066,1087.092968,1084.872910,6.979285,2.497505
ubuntu-linux,gcm,encrypt,8388608,30,100,18.988874474,18.993976945,0.085618787,0.030638289,421.307652,421.186153,1.910433,0.683640
ubuntu-linux,gcm,decrypt,8388608,30,100,22.508526186,22.525229005,0.197862157,0.070804063,355.447524,355.157416,3.136621,1.122425
ubuntu-linux,ccm,encrypt,1024,30,100,0.003158292,0.002900040,0.001315084,0.000470597,326.755512,336.741074,43.709614,15.641285
ubuntu-linux,ccm,decrypt,1024,30,100,0.003504823,0.003479920,0.000108614,0.000038867,278.859697,280.627866,7.540523,2.698342
ubuntu-linux,ccm,encrypt,4096,30,100,0.010479560,0.010442770,0.000111532,0.000039911,372.789169,374.062629,3.861876,1.381955
ubuntu-linux,ccm,decrypt,4096,30,100,0.010181322,0.010151225,0.000108956,0.000038989,383.709262,384.805775,3.963343,1.418264
ubuntu-linux,ccm,encrypt,16384,30,100,0.037285461,0.037250700,0.000156613,0.000056043,419.071230,419.455206,1.744736,0.624346
ubuntu-linux,ccm,decrypt,16384,30,100,0.038546824,0.038522520,0.000103090,0.000036890,405.353957,405.606902,1.078931,0.386091
ubuntu-linux,ccm,encrypt,262144,30,100,0.600525456,0.600205590,0.001806918,0.000646597,416.305725,416.523947,1.251227,0.447746
ubuntu-linux,ccm,decrypt,262144,30,100,0.608962149,0.608414555,0.001307499,0.000467882,410.536370,410.904043,0.878321,0.314303
