platform,algo,input_size_bytes,mode,runs,ops_per_run,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s,mean_latency_ms,median_latency_ms,stddev_latency_ms,ci95_latency_ms
windows11-mingw64,sha256,1073741824,hash,3,1,554.371093,497.625515,140.222410,158.676595,1920.074167,2057.772300,433.906003,491.010865
windows11-mingw64,sha512,1073741824,hash,3,1,358.520676,358.033220,25.487130,28.841402,2865.833200,2860.069800,203.830720,230.656173
windows11-mingw64,sha3-256,1073741824,hash,3,1,215.538742,216.143578,11.317475,12.806929,4759.679367,4737.591600,251.312589,284.386967
windows11-mingw64,sha3-512,1073741824,hash,3,1,122.247543,122.843513,5.464803,6.184007,8387.709000,8335.808500,378.029139,427.780241
