platform,algo,input_size_bytes,mode,runs,ops_per_run,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s,mean_latency_ms,median_latency_ms,stddev_latency_ms,ci95_latency_ms
windows11-mingw64,sha256,104857600,hash,30,1,876.468097,883.516795,27.472909,9.831054,114.207233,113.184050,3.729357,1.334533
windows11-mingw64,sha512,104857600,hash,30,1,465.786794,469.102621,12.154482,4.349425,214.840020,213.173150,5.933375,2.123231
windows11-mingw64,sha3-256,104857600,hash,30,1,271.604217,273.678780,7.664455,2.742690,368.471513,365.394150,10.587662,3.788746
windows11-mingw64,sha3-512,104857600,hash,30,1,142.030900,141.578675,14.984499,5.362134,711.896827,708.475900,77.005787,27.556167
