platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
windows11-mingw64,sha512,104857600,hash,18,1,1000,218.802200,218.802200,457.033796,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,19,1,1000,238.125800,238.125800,419.946096,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,20,1,1000,211.551700,211.551700,472.697690,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,21,1,1000,218.404200,218.404200,457.866653,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,22,1,1000,211.655500,211.655500,472.465870,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,23,1,1000,213.732500,213.732500,467.874563,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,24,1,1000,213.377000,213.377000,468.654072,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,25,1,1000,211.388400,211.388400,473.062855,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,26,1,1000,214.011900,214.011900,467.263736,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,27,1,1000,213.367800,213.367800,468.674280,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,28,1,1000,220.021300,220.021300,454.501451,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,29,1,1000,211.577800,211.577800,472.639379,64,true,gcc-16.1,Release
windows11-mingw64,sha512,104857600,hash,30,1,1000,212.978500,212.978500,469.530962,64,true,gcc-16.1,Release
windows11-mingw64,sha3-256,104857600,hash,1,1,1000,359.289200,359.289200,278.327320,32,true,gcc-16.1,Release
windows11-mingw64,sha3-256,104857600,hash,2,1,1000,367.838100,367.838100,271.858734,32,true,gcc-16.1,Release
windows11-mingw64,sha3-256,104857600,hash,3,1,1000,361.444300,361.444300,276.667802,32,true,gcc-16.1,Release
windows11-mingw64,sha3-256,104857600,hash,4,1,1000,361.611900,361.611900,276.539572,32,true,gcc-16.1,Release
