platform,algo,input_size_bytes,mode,run,ops,warmup_ms,total_ms,latency_ms_per_op,throughput_mib_s,digest_size_bytes,streaming,compiler,build_type
windows11-mingw64,sha256,1048576,hash,1,100,1000,111.536500,1.115365,896.567491,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,2,100,1000,111.511700,1.115117,896.766886,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,3,100,1000,113.710700,1.137107,879.424716,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,4,100,1000,115.404700,1.154047,866.515835,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,5,100,1000,109.751100,1.097511,911.152599,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,6,100,1000,107.973300,1.079733,926.154892,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,7,100,1000,105.646800,1.056468,946.550203,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,8,100,1000,107.022400,1.070224,934.383830,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,9,100,1000,110.351500,1.103515,906.195204,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,10,100,1000,105.330300,1.053303,949.394429,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,11,100,1000,105.157100,1.051571,950.958138,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,12,100,1000,105.148800,1.051488,951.033202,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,13,100,1000,104.689600,1.046896,955.204719,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,14,100,1000,107.630700,1.076307,929.102942,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,15,100,1000,106.629700,1.066297,937.825015,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,16,100,1000,105.392400,1.053924,948.835020,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,17,100,1000,104.424600,1.044246,957.628758,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,18,100,1000,108.990500,1.089905,917.511159,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,19,100,1000,104.493500,1.044935,956.997325,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,20,100,1000,106.180500,1.061805,941.792514,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,21,100,1000,107.533400,1.075334,929.943627,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,22,100,1000,108.625500,1.086255,920.594151,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,23,100,1000,103.623900,1.036239,965.028338,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,24,100,1000,104.216700,1.042167,959.539114,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,25,100,1000,105.568000,1.055680,947.256744,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,26,100,1000,105.902800,1.059028,944.262097,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,27,100,1000,103.787100,1.037871,963.510879,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,28,100,1000,107.376900,1.073769,931.299004,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,29,100,1000,108.775900,1.087759,919.321283,32,true,gcc-16.1,Release
windows11-mingw64,sha256,1048576,hash,30,100,1000,107.732000,1.077320,928.229310,32,true,gcc-16.1,Release
windows11-mingw64,sha512,1048576,hash,1,100,1000,205.215000,2.052150,487.293814,64,true,gcc-16.1,Release
windows11-mingw64,sha512,1048576,hash,2,100,1000,207.184600,2.071846,482.661356,64,true,gcc-16.1,Release
windows11-mingw64,sha512,1048576,hash,3,100,1000,206.069300,2.060693,485.273643,64,true,gcc-16.1,Release
windows11-mingw64,sha512,1048576,hash,4,100,1000,203.762900,2.037629,490.766474,64,true,gcc-16.1,Release
windows11-mingw64,sha512,1048576,hash,5,100,1000,231.632600,2.316326,431.718161,64,true,gcc-16.1,Release
windows11-mingw64,sha512,1048576,hash,6,100,1000,204.881500,2.048815,488.087016,64,true,gcc-16.1,Release
