platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows,ofb,encrypt,262144,30,100,0.492648567,0.490669000,0.005389051,0.001928447,507.519138,509.508494,5.485866,1.963092
windows,ofb,decrypt,262144,30,100,0.505982800,0.500529500,0.014636804,0.005237713,494.458681,499.471063,13.273746,4.749949
windows,ofb,encrypt,1048576,30,100,2.589745000,2.520438000,0.110978631,0.039713193,386.796747,396.756474,15.904492,5.691350
windows,ofb,decrypt,1048576,30,100,2.621151400,2.581087000,0.073363374,0.026252746,381.794739,387.433730,10.461866,3.743731
windows,ofb,encrypt,8388608,30,100,22.741079533,22.516075000,1.305091327,0.467020934,352.884786,355.313842,19.818849,7.092084
windows,ofb,decrypt,8388608,30,100,24.493559500,21.935974500,3.542695684,1.267737369,332.691547,364.697793,43.617443,15.608302
windows,ctr,encrypt,1024,30,100,0.004143667,0.004142000,0.000509412,0.000182291,238.561565,235.770777,25.097622,8.981069
windows,ctr,decrypt,1024,30,100,0.004432567,0.004234000,0.001038936,0.000371778,227.835303,230.648196,34.586092,12.376474
windows,ctr,encrypt,4096,30,100,0.005845633,0.005304500,0.001643956,0.000588282,703.414046,736.403113,136.076351,48.694297
windows,ctr,decrypt,4096,30,100,0.005713167,0.005378500,0.001086617,0.000388841,697.333321,726.273531,76.032973,27.208050
windows,ctr,encrypt,16384,30,100,0.011515333,0.011084000,0.000935124,0.000334630,1364.369994,1409.689689,95.617145,34.216156
windows,ctr,decrypt,16384,30,100,0.011913333,0.011273000,0.001819157,0.000650977,1332.684378,1386.068537,144.561414,51.730638
windows,ctr,encrypt,262144,30,100,0.123355333,0.122662000,0.005651147,0.002022237,2030.695194,2038.160516,91.151856,32.618273
windows,ctr,decrypt,262144,30,100,0.129744900,0.129161000,0.005217954,0.001867221,1929.819946,1935.571060,76.343228,27.319073
windows,ctr,encrypt,1048576,30,100,1.123701500,1.108275500,0.060998273,0.021827952,892.317714,902.302726,45.863248,16.411953
windows,ctr,decrypt,1048576,30,100,1.209891533,1.178936000,0.103174179,0.036920406,831.800587,848.223319,64.366797,23.033362
windows,ctr,encrypt,8388608,30,100,12.392044367,11.234893000,2.757504877,0.986760447,672.694006,712.068246,129.664208,46.399741
windows,ctr,decrypt,8388608,30,100,12.376379433,11.772264000,1.779159757,0.636664143,658.283109,679.568691,86.296845,30.880929
windows,gcm,encrypt,1024,30,100,0.004759067,0.004732000,0.000472238,0.000168988,206.780495,206.392820,16.853683,6.031013
windows,gcm,decrypt,1024,30,100,0.006667300,0.006377000,0.000739957,0.000264790,147.925684,153.139451,13.639471,4.880822
windows,gcm,encrypt,4096,30,100,0.006691033,0.006590000,0.000754835,0.000270114,589.944632,592.754664,57.637551,20.625333
windows,gcm,decrypt,4096,30,100,0.008579367,0.008319500,0.001219272,0.000436311,461.542181,469.529909,46.822296,16.755144
windows,gcm,encrypt,16384,30,100,0.016852133,0.016338000,0.001974834,0.000706685,936.977124,956.375975,87.453886,31.294971
