platform,mode,operation,payload_bytes,runs,ops_per_run,mean_ms_per_op,median_ms_per_op,stddev_ms_per_op,ci95_ms_per_op,mean_mib_s,median_mib_s,stddev_mib_s,ci95_mib_s
windows11-mingw64,ofb,encrypt,4096,30,100,0.011023267,0.010435500,0.001098215,0.000392991,357.335499,374.323761,30.952740,11.076296
windows11-mingw64,ofb,decrypt,4096,30,100,0.011050033,0.010421500,0.001277951,0.000457309,357.315464,374.826082,34.192720,12.235708
windows11-mingw64,ofb,encrypt,16384,30,100,0.035180800,0.034507500,0.002534492,0.000906956,446.003581,452.804759,26.982949,9.655724
windows11-mingw64,ofb,decrypt,16384,30,100,0.035149367,0.034691000,0.001552517,0.000555561,445.354224,450.489818,19.282102,6.900011
windows11-mingw64,ofb,encrypt,262144,30,100,0.501315800,0.501216500,0.004105497,0.001469133,498.719846,498.786453,4.066714,1.455255
windows11-mingw64,ofb,decrypt,262144,30,100,0.510523367,0.507600500,0.010077790,0.003606291,489.875471,492.513358,9.536534,3.412605
windows11-mingw64,ofb,encrypt,1048576,30,100,2.599334667,2.598235500,0.019483475,0.006972072,384.734812,384.876592,2.895755,1.036232
windows11-mingw64,ofb,decrypt,1048576,30,100,2.638237833,2.636120000,0.028505879,0.010200698,379.083842,379.345407,4.113350,1.471943
windows11-mingw64,ofb,encrypt,8388608,30,100,21.905031333,21.901951000,0.276403630,0.098909769,365.269041,365.264802,4.602871,1.647116
windows11-mingw64,ofb,decrypt,8388608,30,100,22.245818667,22.300250000,0.279411433,0.099986097,359.673292,358.740375,4.542613,1.625553
windows11-mingw64,ctr,encrypt,1024,30,100,0.003787233,0.003462500,0.000894022,0.000319922,266.724036,282.040188,39.716924,14.212519
windows11-mingw64,ctr,decrypt,1024,30,100,0.004023033,0.003436500,0.001374866,0.000491990,260.073558,284.173584,53.265933,19.060969
windows11-mingw64,ctr,encrypt,4096,30,100,0.004780167,0.004361500,0.001202646,0.000430362,848.942635,895.621067,131.677065,47.120032
windows11-mingw64,ctr,decrypt,4096,30,100,0.004842767,0.004361000,0.001240676,0.000443970,839.807873,895.723505,135.696929,48.558522
windows11-mingw64,ctr,encrypt,16384,30,100,0.009826800,0.009009500,0.002037556,0.000729130,1636.003164,1734.282837,231.507748,82.843984
windows11-mingw64,ctr,decrypt,16384,30,100,0.009853967,0.009002000,0.001802277,0.000644937,1624.064211,1735.750155,220.078999,78.754258
windows11-mingw64,ctr,encrypt,262144,30,100,0.101228933,0.099701000,0.003977017,0.001423157,2473.168623,2507.498913,92.753495,33.191412
windows11-mingw64,ctr,decrypt,262144,30,100,0.105641300,0.105321000,0.003206826,0.001147548,2368.612863,2373.695690,72.080917,25.793825
windows11-mingw64,ctr,encrypt,1048576,30,100,0.948243400,0.950487000,0.018855277,0.006747274,1054.985089,1052.092422,21.001674,7.515352
windows11-mingw64,ctr,decrypt,1048576,30,100,0.983982433,0.984932000,0.009806516,0.003509217,1016.375976,1015.299327,10.139220,3.628273
windows11-mingw64,ctr,encrypt,8388608,30,100,9.185118800,9.186181500,0.180855381,0.064718267,871.296304,870.873279,16.945238,6.063776
windows11-mingw64,ctr,decrypt,8388608,30,100,9.142963233,9.184852000,0.171241392,0.061277945,875.289776,870.999409,16.568254,5.928874
windows11-mingw64,gcm,encrypt,1024,30,100,0.005511967,0.005171000,0.001564259,0.000559763,190.498743,190.467638,49.858337,17.841577
windows11-mingw64,gcm,decrypt,1024,30,100,0.005374733,0.005127500,0.000769834,0.000275481,184.236610,190.456022,18.453959,6.603664
windows11-mingw64,gcm,encrypt,4096,30,100,0.007588700,0.006380000,0.002395891,0.000857359,552.889440,612.313765,129.873525,46.474644
windows11-mingw64,gcm,decrypt,4096,30,100,0.007611867,0.006775000,0.001743607,0.000623942,532.466332,576.568718,87.678830,31.375466
windows11-mingw64,gcm,encrypt,16384,30,100,0.014736900,0.014191000,0.001615764,0.000578194,1070.279082,1101.198831,95.688593,34.241723
windows11-mingw64,gcm,decrypt,16384,30,100,0.016089467,0.015138000,0.001784583,0.000638605,981.273180,1032.173741,95.039888,34.009587
windows11-mingw64,gcm,encrypt,262144,30,100,0.197792867,0.190844000,0.027273318,0.009759632,1286.365256,1309.975057,169.137566,60.525101
windows11-mingw64,gcm,decrypt,262144,30,100,0.191925567,0.184667500,0.015895470,0.005688121,1310.846513,1353.786858,103.325493,36.974553
windows11-mingw64,gcm,encrypt,1048576,30,100,1.705719267,1.632993000,0.192080226,0.068735026,592.473952,612.372578,57.781728,20.676926
windows11-mingw64,gcm,decrypt,1048576,30,100,1.590437167,1.532536500,0.137946262,0.049363436,632.944331,652.513328,50.025889,17.901534
windows11-mingw64,gcm,encrypt,8388608,30,100,13.416893533,13.373171000,0.339009899,0.121313134,596.629190,598.212706,14.988655,5.363621
windows11-mingw64,gcm,decrypt,8388608,30,100,13.628784600,13.164372000,1.159655153,0.414977267,590.545986,607.701988,43.294148,15.492612
windows11-mingw64,ccm,encrypt,1024,30,100,0.005454733,0.005243500,0.000483810,0.000173129,180.217641,186.243102,13.874422,4.964898
windows11-mingw64,ccm,decrypt,1024,30,100,0.006880100,0.006632000,0.000952487,0.000340843,143.578538,147.250347,12.375996,4.428693
windows11-mingw64,ccm,encrypt,4096,30,100,0.012588400,0.011751000,0.001812895,0.000648736,315.154148,332.434705,35.204012,12.597594
windows11-mingw64,ccm,decrypt,4096,30,100,0.014109867,0.013271000,0.002308362,0.000826037,281.794308,294.347621,32.053851,11.470323
windows11-mingw64,ccm,encrypt,16384,30,100,0.040077433,0.039018000,0.002441146,0.000873553,391.202352,400.456642,22.652009,8.105917
windows11-mingw64,ccm,decrypt,16384,30,100,0.041635667,0.040739000,0.002525912,0.000903886,376.505710,383.539143,20.961302,7.500905
windows11-mingw64,ccm,encrypt,262144,30,100,0.577268767,0.577316000,0.008359564,0.002991431,433.162082,433.038609,6.304808,2.256147
windows11-mingw64,ccm,decrypt,262144,30,100,0.601129167,0.601302500,0.014664954,0.005247786,416.123460,415.764618,10.159111,3.635391
windows11-mingw64,ccm,encrypt,1048576,30,100,3.196323433,3.174736500,0.096398346,0.034495705,313.105403,314.986803,8.447036,3.022733
windows11-mingw64,ccm,decrypt,1048576,30,100,3.184812467,3.180219000,0.046690848,0.016708105,314.053298,314.443755,4.452409,1.593274
windows11-mingw64,ccm,encrypt,8388608,30,100,29.487696633,26.457549500,4.820208315,1.724889393,277.468766,302.371310,39.174258,14.018328
windows11-mingw64,ccm,decrypt,8388608,30,100,33.095412400,31.967048500,2.339888717,0.837318424,242.845375,250.257770,16.412434,5.873114
windows11-mingw64,xts,encrypt,1024,30,100,0.006629233,0.006291000,0.000952726,0.000340928,150.081826,155.233096,20.172902,7.218780
windows11-mingw64,xts,decrypt,1024,30,100,0.006429133,0.005948500,0.001559744,0.000558147,158.397181,164.170653,28.604030,10.235821
windows11-mingw64,xts,encrypt,4096,30,100,0.011716433,0.010947000,0.002145566,0.000767781,343.050991,356.839783,55.493024,19.857924
windows11-mingw64,xts,decrypt,4096,30,100,0.012929767,0.013233000,0.002006585,0.000718047,309.592814,295.266554,50.306481,18.001943
windows11-mingw64,xts,encrypt,16384,30,100,0.037188767,0.037215000,0.005210261,0.001864468,428.806384,419.892426,64.491202,23.077880
windows11-mingw64,xts,decrypt,16384,30,100,0.032800967,0.032785500,0.004807622,0.001720386,486.953967,476.583133,75.550937,27.035556
windows11-mingw64,xts,encrypt,262144,30,100,0.425126200,0.417293500,0.026284309,0.009405719,590.094665,599.113437,34.092442,12.199824
windows11-mingw64,xts,decrypt,262144,30,100,0.450165033,0.417026000,0.075788316,0.027120500,566.048113,599.486799,67.618140,24.196841
windows11-mingw64,xts,encrypt,1048576,30,100,2.346985400,2.289984500,0.109895500,0.039325599,426.958948,436.684234,19.465905,6.965785
windows11-mingw64,xts,decrypt,1048576,30,100,2.402006500,2.392896000,0.098589399,0.035279764,416.989878,417.906083,16.929518,6.058150
windows11-mingw64,xts,encrypt,8388608,30,100,20.562040867,19.886879500,1.397181212,0.499974876,390.675206,402.275295,24.532734,8.778926
windows11-mingw64,xts,decrypt,8388608,30,100,20.051586600,19.849762500,0.609099871,0.217963590,399.306096,403.027506,11.423573,4.087873
